Quando ocorreu a chegada dos primeiros humanos na América do Sul?;A chegada dos primeiros humanos na América do Sul ocorreu há pelo menos 22.000 anos AP.
 Como foi o processo de abolição da escravidão no Brasil após a implementação das leis do Ventre Livre e dos Sexagenários?;Com a implementação das leis do Ventre Livre e dos Sexagenários, a abolição dos escravos foi gradual, permitindo a libertação dos escravos ao atingirem a idade de 60 anos.
O que foi a Confederação Abolicionista e quem a liderou?;A Confederação Abolicionista era uma união de organizações abolicionistas no Brasil. Ela foi liderada por José do Patrocínio.
 Quais foram as primeiras regiões a abolirem a escravidão no Brasil e em que ano isso ocorreu?;O Ceará e o Amazonas foram pioneiros na abolição da escravidão em seus territórios, por volta de 1884.
 Quem sancionou a Lei Áurea e em que data ela foi aprovada?; A Princesa Isabel sancionou a Lei Áurea, que foi aprovada pelo Parlamento em 13 de maio de 1888, abolindo toda e qualquer forma de escravidão no Brasil.
Quais foram algumas das consequências imediatas da abolição da escravidão para a sociedade brasileira?;A aristocracia escravista culpou o governo pela abolição sem indenização e aderiu aos partidos republicanos, contribuindo para a queda da monarquia. Pequenos proprietários foram arruinados, e muitos ex-escravos enfrentaram desemprego e marginalização, migrando para áreas urbanas.
Qual região no Brasil não foi muito afetada pela abolição da escravidão e por quê?;A economia cafeeira do oeste paulista não sofreu grandes abalos, pois já se baseava na mão de obra livre e assalariada, principalmente de imigrantes europeus.
Segundo a análise de Everardo Vallim Pereira de Souza, quais foram as consequências da abolição dos escravos em 13 de maio de 1888?;Conforme a análise, as consequências foram desastrosas. Os ex-escravos, desamparados, deixaram as fazendas, migraram para as cidades enfrentando problemas como consumo excessivo de álcool, miséria, crimes, doenças e mortes precoces. Cerca da metade dos novos ex-escravos havia desaparecido dois anos após a abolição, afetando a produção agrícola e desorganizando os serviços sociais.
 Quando o Brasil aboliu a escravidão em comparação com outros países, e qual foi o último país a abolir a escravidão no mundo?;O Brasil foi o último país independente das Américas a abolir a escravidão em 13 de maio de 1888. O último país do mundo a abolir a escravidão foi a Mauritânia, em 9 de novembro de 1981, pelo decreto número 81.234.
 O que aconteceu em 15 de novembro de 1889 no Brasil?;Em 15 de novembro de 1889, o Marechal Deodoro da Fonseca decretou o fim do período imperial brasileiro por meio de um golpe militar, iniciando assim um período republicano ditatorial. O último imperador, D. Pedro II, foi deposto e exilado na Europa, e o nome do país mudou de Império do Brasil para Estados Unidos do Brasil.
O que marcou o início da República Velha no Brasil após a proclamação da República?; O início da República Velha foi marcado por um período de ditadura, caos, conflitos como a luta dos federalistas e negros por seus direitos, após quatro anos do governo ditatorial que sucedeu a proclamação da República.
 Segundo o Visconde de Ouro Preto, qual foi a opinião dele sobre a proclamação da República no Brasil?;"O Visconde de Ouro Preto considerou a proclamação da República um erro, expressando em seu livro ""Advento da ditadura militar no Brasil"" que o Segundo Reinado tinha sido positivo, ao contrário da República proclamada."
Segundo o Visconde de Ouro Preto, quais foram os aspectos positivos do Império do Brasil e por que ele considera a proclamação da República como uma obra de iniquidade?;O Visconde de Ouro Preto atribuiu ao Império do Brasil a manutenção da paz interna, ordem, segurança e liberdade individual. Ele considerou a proclamação da República como uma obra de iniquidade, baseada em um atentado sem precedentes na História e originada de forma criminosa pela soldadesca amotinada.
Quais foram alguns dos conflitos e eventos marcantes durante a Primeira República no Brasil, tanto no âmbito externo quanto interno?; Durante a Primeira República no Brasil, houve eventos como a Revolução Acreana, que levou à incorporação do Acre ao país, e o envolvimento na Primeira Guerra Mundial, resultando em participação naval do Brasil no noroeste da África e no Mediterrâneo. Internamente, destacaram-se crises econômicas, como o encilhamento, e diversos conflitos, incluindo revoltas militares (Revolta da Armada, Revolução Federalista, entre outras) e civis (Guerra de Canudos, Revolta da Vacina, entre outras).
 Qual foi o contexto dos movimentos operários e do cangaço durante o período da Primeira República no Brasil?;"Durante a Primeira República, houve movimentos operários entre 1917-1919, além do auge do cangaço, com Virgulino Ferreira da Silva, conhecido como ""Lampião"", sendo um dos expoentes mais famosos desse movimento."
 Quem foi o líder do movimento de 1930 que encerrou o primeiro período da república no Brasil?;Getúlio Vargas liderou o movimento de 1930 que pôs fim ao primeiro período da república no Brasil.
"O que caracterizou o período conhecido como ""República do Café-com-Leite""?";O período ficou marcado pela alternância da Presidência entre os estados de São Paulo e Minas Gerais, devido à produção de café em São Paulo e à produção leiteira em Minas Gerais.
Como Campos Sales denominou a política que fortaleceu os laços entre os Estados e a União?;"Campos Sales denominou essa política de ""Política dos Estados"", afirmando que essa expressão representava melhor seu pensamento."
Qual foi o período compreendido entre 1930 e 1945 na história do Brasil?; Esse período é conhecido como Era Vargas, caracterizado pelo controle exercido por Getúlio Vargas, incluindo o Estado Novo (1937–1945).
Quem foi eleito presidente na última eleição presidencial da República Velha em 1930?;Júlio Prestes foi eleito presidente na última eleição presidencial da República Velha em 1930, apesar de os perdedores não reconhecerem sua vitória.
O que aconteceu durante a Revolução de 1930 no Brasil?;A Revolução de 1930 resultou no golpe militar que depôs o presidente Washington Luís, impediu Júlio Prestes de tomar posse como presidente e levou Getúlio Vargas ao poder em um Governo Provisório.
 Quais foram as principais demandas da Frente Única Paulista durante a Era Vargas?;"A Frente Única Paulista reivindicou o fim da interferência dos tenentes em São Paulo e a convocação de uma assembleia nacional constituinte para encerrar o Governo Provisório, chamado de ""ditadura"" pelos paulistas."
Por que ocorreu a Revolução Constitucionalista de 1932?;A Revolução Constitucionalista de 1932 foi uma tentativa dos paulistas de depor Getúlio Vargas, justificada pela necessidade de uma nova Constituição após Vargas assumir a presidência de forma provisória desde 1930.
O que marcou a vitória de Getúlio Vargas durante a Revolução Constitucionalista de 1932?;Apoiado por tropas federais, gaúchas e mineiras, Getúlio Vargas venceu a Revolução Constitucionalista de 1932 após três meses de luta, mesmo com o apoio dos paulistas pelo Estado de Maracaju no Mato Grosso.
Quais movimentos políticos surgiram durante o governo constitucional de Getúlio Vargas em 1934?;Durante o governo constitucional de Getúlio Vargas em 1934, houve o fortalecimento de movimentos de esquerda, como a Aliança Nacional Libertadora (ANL) e o Partido Comunista Brasileiro (PCB), além do surgimento de movimentos de direita, como o Integralismo.
O que levou à proclamação do Estado Novo por Getúlio Vargas em 1937?;A proclamação do Estado Novo em 1937 foi justificada por um suposto plano comunista, o Plano Cohen, que foi mais tarde descoberto como uma armação dos agentes de Getúlio Vargas, permitindo-lhe decretar um golpe de estado dois meses antes da eleição presidencial.
Quais foram as principais características do governo durante o Estado Novo de Getúlio Vargas?;Durante o Estado Novo, a censura foi imposta, o Departamento de Imprensa e Propaganda (DIP) foi criado para controlar a expressão artística e científica, enquanto a imagem de Getúlio Vargas era exaltada pela propaganda oficial.
 Como o Brasil se posicionou inicialmente durante a Segunda Guerra Mundial sob o governo de Vargas?; Inicialmente, o Brasil sob Vargas estava em uma posição de neutralidade incerta, com temores sobre o comunismo, enquanto havia indecisão entre apoiar o Eixo (com quem parecia ter mais afinidade) ou os Aliados durante a Segunda Guerra Mundial.
O que levou o Brasil a aderir aos países Aliados durante a Segunda Guerra Mundial?; A adesão do Brasil aos países Aliados durante a Segunda Guerra Mundial ocorreu em 1942 após ataques alemães a navios mercantes brasileiros, resultando na morte de dezenas de pessoas, além de barganhas que garantiram vantagens econômicas e militares para o país.
Quais foram algumas das conquistas importantes durante o Estado Novo de Getúlio Vargas?; Durante o Estado Novo, houve conquistas significativas como a criação de instituições como o Ministério da Aeronáutica, a Força Aérea Brasileira, o Conselho Nacional do Petróleo, além de acordos que permitiram a criação de empresas como a Companhia Siderúrgica Nacional e a Consolidação das Leis do Trabalho.
O que levou Getúlio Vargas a criar a Força Expedicionária Brasileira (FEB)?;" A pressão interna e externa, especialmente dos Estados Unidos, levou Vargas a criar a Força Expedicionária Brasileira (FEB), atendendo às demandas por envio de tropas brasileiras durante a Segunda Guerra Mundial, resultando no lema ""A Cobra Vai Fumar""."
Como terminou o governo de Getúlio Vargas após o término da Segunda Guerra Mundial?; Após o término da Segunda Guerra Mundial, e com a derrota do fascismo, Getúlio Vargas foi forçado a renunciar em 29 de outubro de 1945 pelas forças armadas, seguindo para seu estado natal, o Rio Grande do Sul, e elegendo-se senador da república.
O que marcou o início da República Nova após a renúncia de Vargas?;A República Nova, conhecida também como República de 46, teve início com a renúncia forçada de Vargas em outubro de 1945, seguida pela posse do presidente eleito General Eurico Gaspar Dutra.
O que caracterizou o governo de Juscelino Kubitschek após assumir a presidência em 1956?;"O governo de Juscelino Kubitschek foi marcado pelo ""desenvolvimentismo"", uma doutrina focada nos avanços técnico-industriais como evidência de um avanço geral do país, com o lema ""50 anos em 5""."
Qual foi a grande realização de Juscelino Kubitschek em 1960?; Em 1960, Juscelino Kubitschek inaugurou Brasília, a nova capital do Brasil, durante seu governo.
Por que João Goulart assumiu a presidência em 1961 após a renúncia de Jânio Quadros?;João Goulart assumiu a presidência em 1961 após a renúncia de Jânio Quadros devido a uma solução intermediária, onde o parlamentarismo foi instaurado no Brasil, permitindo a recuperação de Goulart como chefe de governo através de um referendo.
Como foi o governo de João Goulart e por que ele foi deposto em 1964?;O governo de João Goulart foi marcado por problemas econômicos, oposição militar e críticas conservadoras. Em 1964, ele foi deposto por um golpe militar devido à oposição das Forças Armadas e da sociedade civil, manifestada pela Marcha da Família com Deus pela Liberdade.
 O que marcou o regime militar que se instalou no Brasil após o golpe de 1964?;"O regime militar estabelecido após o golpe de 1964 se autointitulou de ""Contra-Revolução de 1964"", destacando-se pela supressão de direitos constitucionais, a censura à imprensa após a implementação do AI-5 em 1968 e o combate às guerrilhas de orientação esquerdista."
Quais foram os presidentes durante o regime militar no Brasil?;Os presidentes durante o regime militar foram os generais Humberto de Alencar Castelo Branco, Arthur da Costa e Silva, Emílio Garrastazu Médici, Ernesto Geisel e João Baptista de Oliveira Figueiredo, todos eleitos por colégios eleitorais formados pelo Congresso Nacional e representantes das assembleias legislativas dos estados.
 Quais partidos políticos foram permitidos após a extinção dos demais pelo Ato Institucional nº 2?; Após a extinção dos partidos políticos pelo Ato Institucional nº 2 em 1965, somente dois partidos foram permitidos: a Aliança Renovadora Nacional (ARENA) e o Movimento Democrático Brasileiro (MDB).
O que ocorreu em 13 de dezembro de 1968 durante o governo de Costa e Silva?;Em 13 de dezembro de 1968, o presidente Costa e Silva decretou o Ato Institucional nº 5 (AI-5), que lhe conferiu amplos poderes, incluindo o fechamento do Congresso Nacional, a suspensão de direitos políticos e a supressão do habeas corpus
Quais foram algumas características do governo Médici durante o regime militar?;O governo Médici, que teve início em 1969, foi marcado por uma intensa repressão aos grupos de esquerda que se opunham à ditadura militar. Houve combate aos grupos revolucionários e guerrilheiros marxistas, com prisões, exílios, torturas e mortes. Surgiram movimentos guerrilheiros, como no Araguaia, além de sequestros de embaixadores estrangeiros e assaltos a bancos comerciais por grupos de esquerda.
Qual foi a reação do governo militar aos movimentos de contestação e luta armada durante esse período?;O governo militar reagiu de maneira repressiva aos movimentos de contestação e luta armada, intensificando a censura, realizando prisões, exílios, torturas e confrontos com grupos guerrilheiros e revolucionários, resultando em mortes de ambos os lados.
Quem assumiu a presidência em 1974 no Brasil?;O General Ernesto Geisel assumiu a presidência em 1974 no Brasil, enfrentando problemas econômicos causados pela dívida externa, agravados pela crise internacional do petróleo e alta taxa de inflação.
Qual foi a abertura democrática iniciada por Geisel e continuada por seu sucessor?;"Geisel iniciou a abertura democrática ""lenta, gradual e segura"", continuada por seu sucessor, o General Figueiredo (1979–85), permitindo o retorno de políticos exilados e anistiando militantes das guerrilhas do período anterior."
Como terminou o regime militar no Brasil?;O regime militar no Brasil terminou com as eleições indiretas para presidente em 1984, onde Tancredo Neves venceu, governando por seis anos a partir de 15 de março de 1985.
"O que foi a campanha ""Diretas já""?";"""Diretas já"" foi uma campanha popular liderada pelo PMDB em favor de eleições diretas, buscando a aprovação pelo Congresso Nacional da Emenda Constitucional que propunha tal realização."
Quais foram algumas das principais realizações dos governos militares no Brasil?;Algumas das principais realizações dos governos militares incluem a Ponte Rio-Niterói, os metrôs de São Paulo e Rio de Janeiro, a usina hidrelétrica de Itaipu, a rodovia Transamazônica, entre outros projetos e instituições.
Quem foi o primeiro presidente civil eleito após o golpe militar de 1964 no Brasil?; Tancredo Neves foi o primeiro presidente civil eleito após o golpe militar de 1964 no Brasil, porém, devido a problemas de saúde, não pôde assumir, sendo sucedido interinamente por José Sarney.
 Quando foi restabelecida a democracia no Brasil e por meio de qual evento?;A democracia foi restabelecida em 1988, quando a atual Constituição Federal foi promulgada.
Quais foram os principais eventos envolvendo os presidentes Fernando Collor e Itamar Franco?; Fernando Collor foi eleito em 1989, sendo posteriormente afastado devido a denúncias de corrupção. Itamar Franco assumiu a presidência e criou o Plano Real, sendo sucedido por Fernando Henrique Cardoso.
Quem foi o presidente responsável por articular o Plano Real no Brasil?;Fernando Henrique Cardoso, como Ministro da Fazenda de Itamar Franco, foi o responsável por articular o Plano Real.
Quem foi o primeiro presidente brasileiro do Partido dos Trabalhadores (PT)?; Luiz Inácio Lula da Silva, do PT, foi eleito presidente com aproximadamente 61% dos votos válidos e repetiu o feito em 2006.
Quem foi a primeira e até hoje única mulher a assumir a Presidência da República do Brasil?; Dilma Rousseff foi a primeira e única mulher a assumir a Presidência da República do Brasil até hoje, em 1 de janeiro de 2011.
 Quais eventos políticos e econômicos marcaram o início do segundo mandato de Dilma Rousseff?;O início do segundo mandato de Dilma Rousseff foi marcado por protestos populares, investigações de corrupção envolvendo políticos e estatais, além do início da crise político-econômica em 2014.
 Por que Dilma Rousseff foi afastada da Presidência do Brasil em 2016?;"Dilma Rousseff foi afastada da Presidência do Brasil em 2016 devido ao processo de impeachment baseado nas chamadas ""pedaladas fiscais"" que, segundo juristas, desrespeitaram a Lei de Responsabilidade Fiscal."
Quem assumiu a Presidência do Brasil após o afastamento de Dilma Rousseff?;Após o afastamento de Dilma Rousseff, o vice-presidente Michel Temer assumiu a Presidência do Brasil.
Quem venceu as eleições presidenciais de 2018 no Brasil?;Jair Bolsonaro foi eleito presidente nas eleições de 2018, derrotando Fernando Haddad, candidato apoiado por Lula e Dilma Rousseff.
